C,C1,C2
5.699999999999999e-10,9.999999999999999e-11,4.699999999999999e-10
5.699999999999999e-10,4.699999999999999e-10,9.999999999999999e-11
5.699999999999999e-10,5.599999999999999e-10,1e-11
5.699999999999999e-10,1e-11,5.599999999999999e-10
5.7e-10,1.8e-10,3.9e-10
5.7e-10,3.9e-10,1.8e-10
5.719999999999999e-10,5.599999999999999e-10,1.2e-11
5.719999999999999e-10,1.2e-11,5.599999999999999e-10
5.75e-10,5.599999999999999e-10,1.5e-11
5.75e-10,1.5e-11,5.599999999999999e-10
5.78e-10,5.599999999999999e-10,1.8e-11
5.78e-10,1.8e-11,5.599999999999999e-10
5.82e-10,5.599999999999999e-10,2.1999999999999998e-11
5.82e-10,2.1999999999999998e-11,5.599999999999999e-10
5.869999999999999e-10,5.599999999999999e-10,2.7e-11
5.869999999999999e-10,2.7e-11,5.599999999999999e-10
5.899999999999999e-10,1.2e-10,4.699999999999999e-10
5.899999999999999e-10,4.699999999999999e-10,1.2e-10
5.929999999999999e-10,5.599999999999999e-10,3.3e-11
5.929999999999999e-10,3.3e-11,5.599999999999999e-10
5.989999999999999e-10,5.599999999999999e-10,3.9e-11
5.989999999999999e-10,3.9e-11,5.599999999999999e-10
6e-10,2.7e-10,3.3e-10
6e-10,3.3e-10,2.7e-10
6.07e-10,5.599999999999999e-10,4.7e-11
6.07e-10,4.7e-11,5.599999999999999e-10
6.1e-10,2.2e-10,3.9e-10
6.1e-10,3.9e-10,2.2e-10
6.159999999999999e-10,5.599999999999999e-10,5.6e-11
6.159999999999999e-10,5.6e-11,5.599999999999999e-10
6.199999999999999e-10,1.5e-10,4.699999999999999e-10
6.199999999999999e-10,4.699999999999999e-10,1.5e-10
6.279999999999999e-10,5.599999999999999e-10,6.8e-11
6.279999999999999e-10,6.8e-11,5.599999999999999e-10
6.42e-10,5.599999999999999e-10,8.2e-11
6.42e-10,8.2e-11,5.599999999999999e-10
6.499999999999999e-10,1.8e-10,4.699999999999999e-10
6.499999999999999e-10,4.699999999999999e-10,1.8e-10
6.599999999999999e-10,9.999999999999999e-11,5.599999999999999e-10
6.599999999999999e-10,5.599999999999999e-10,9.999999999999999e-11
6.6e-10,2.7e-10,3.9e-10
6.6e-10,3.3e-10,3.3e-10
6.6e-10,3.9e-10,2.7e-10
6.799999999999999e-10,0,6.799999999999999e-10
6.799999999999999e-10,1.2e-10,5.599999999999999e-10
6.799999999999999e-10,5.599999999999999e-10,1.2e-10
6.799999999999999e-10,6.799999999999999e-10,0
6.899999999999999e-10,2.2e-10,4.699999999999999e-10
6.899999999999999e-10,4.699999999999999e-10,2.2e-10
6.899999999999999e-10,6.799999999999999e-10,1e-11
6.899999999999999e-10,1e-11,6.799999999999999e-10
6.919999999999999e-10,6.799999999999999e-10,1.2e-11
6.919999999999999e-10,1.2e-11,6.799999999999999e-10
6.95e-10,6.799999999999999e-10,1.5e-11
6.95e-10,1.5e-11,6.799999999999999e-10
6.98e-10,6.799999999999999e-10,1.8e-11
6.98e-10,1.8e-11,6.799999999999999e-10
7.02e-10,6.799999999999999e-10,2.1999999999999998e-11
7.02e-10,2.1999999999999998e-11,6.799999999999999e-10
7.069999999999999e-10,6.799999999999999e-10,2.7e-11
7.069999999999999e-10,2.7e-11,6.799999999999999e-10
7.099999999999999e-10,1.5e-10,5.599999999999999e-10
7.099999999999999e-10,5.599999999999999e-10,1.5e-10
7.129999999999999e-10,6.799999999999999e-10,3.3e-11
7.129999999999999e-10,3.3e-11,6.799999999999999e-10
7.189999999999999e-10,6.799999999999999e-10,3.9e-11
